,0
34,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/precos-e-custos/9262-indice-nacional-de-precos-ao-consumidor-amplo-especial.html
35,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/9319-indices-especiais-de-producao-fisica-de-bens-de-capital.html
36,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/9322-indices-especiais-de-producao-fisica-de-difusao.html
37,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/9323-indices-especiais-de-producao-fisica-eletrodomesticos.html
38,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/9324-indices-especiais-de-producao-fisica-embalagens.html
39,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/9321-indices-especiais-de-producao-fisica-grandes-categorias-economicas-por-atividade.html
40,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/9325-indices-especiais-de-producao-fisica-intensidade-do-gasto-com-energia-eletrica.html
41,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9201-estatistica-da-producao-agricola.html
42,https://www.ibge.gov.br/estatisticas-novoportal/economicas/metodos-e-classificacoes/classificacoes-e-listas-estatisticas/9151-lista-de-produtos-da-agropecuaria-e-pesca.html
43,https://www.ibge.gov.br/estatisticas-novoportal/economicas/metodos-e-classificacoes/classificacoes-e-listas-estatisticas/9153-lista-de-produtos.html
44,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/trabalho/trabalho-remunerado/9483-mercado-de-trabalho.html
45,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-macroeconomicas/contas-nacionais/9085-matriz-de-insumo-produto.html
46,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/servicos/9020-meios-de-hospedagem-no-estado-do-rio-de-janeiro.html
47,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/9197-mudanca-demografica-no-brasil-no-inicio-do-seculo-xxi.html
48,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/sociedade-da-informacao/9139-o-setor-de-tecnologia-da-informacao-e-comunicacao-no-brasil.html
49,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/construcao/9018-pesquisa-anual-da-industria-da-construcao.html
50,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/comercio/9075-pesquisa-anual-de-comercio.html
51,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/servicos/9028-pesquisa-anual-de-servicos.html
52,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/servicos/9030-pesquisa-anual-de-servicos-produtos-e-servicos.html
53,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/saude/assistencia-medico-sanitari9067ovo-portal/estatisticas/demografia-e-estatisticas-sociais/saude/assistencia-medico-sanitaria.html
54,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/cultura-recreacao-e-esporte/9156-pesquisa-de-esporte.html
55,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9199-pesquisa-de-estoques.html
56,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/protecao-social/16770-pesquisa-de-informacoes-basicas-estaduais.html
57,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/rendimento-despesa-e-consumo/10586-pesquisa-de-informacoes-basicas-municipais.html
58,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/ciencia-tecnologia-e-inovacao-ct-i/9141-pesquisa-de-inovacao.html
59,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/ciencia-tecnologia-e-inovacao-ct-i/9143-pesquisa-de-inovacao-nas-empresas-estatais-federais.html
60,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/saude/pesquisa-de-orcamentos-familiare9050ovo-portal/estatisticas/demografia-e-estatisticas-sociais/saude/pesquisa-de-orcamentos-familiares.html
61,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/servicos/9040-pesquisa-de-servicos-de-hospedagem.html
62,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/servicos/9035-pesquisa-de-servicos-de-publicidade-e-promocao-2009.html
63,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/servicos/9037-pesquisa-de-servicos-de-tecnologia-da-informacao.html
64,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/9042-pesquisa-industrial-anual.html
65,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/9044-pesquisa-industrial-anual-produto.html
66,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/trabalho/trabalho-remunerado/9298-pesquisa-industrial-mensal-de-emprego-e-salario.html
67,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/9296-pesquisa-industrial-mensal-producao-fisica.html
68,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/industrias-extrativas/9294-pesquisa-industrial-mensal-producao-fisica-brasil.html
69,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/comercio/9227-pesquisa-mensal-de-comercio.html
70,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/trabalho/trabalho-remunerado/9180-pesquisa-mensal-de-emprego.html
71,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/trabalho/trabalho-remunerado/9183-pesquisa-mensal-de-emprego-antiga-metodologia.html
72,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/servicos/9229-pesquisa-mensal-de-servicos.html
73,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-multidominio-e-meio-ambiente/meio-ambiente/9073-pesquisa-nacional-de-saneamento-basico.html
